patient_id,name,nhs_number,dob,age,gender,ward,bay,bed,hospital_site,consultant,registrar,team,specialty,admission_date,admission_reason,days_in,patient_class,priority,escalation_flag,dnacpr,isolation,vte_status,dw_diet,dw_activity,dw_vitals,dw_investigations,dw_drains,dw_wounds,dw_examination,dw_nursing,dw_drugs,dw_barriers,obs_hr,obs_hr_flag,obs_bp,obs_bp_flag,obs_temp,obs_temp_flag,obs_o2,obs_o2_flag,obs_rr,obs_rr_flag,news_score,medications,allergies,antibiotics,abx_day,abx_review,bloods,imaging,ecg,microbiology,social_situation,mobility,discharge_plan,expected_discharge,ttl_written,procedures,operation_date,post_op_day,case_classification,alerts,tags,status,created_at,last_updated,updated_by
KCH0026,Miss Sharon Adeyemi,326 729 1710,15/09/1985,41 yrs,Female,Ward 4B,Bay 1,Bed D,King's College Hospital,Ms Robertson,Dr Elizabeth Nelson,Cardiac Surgery,Cardiac Surgery,26/01/2026,Mitral valve repair,22,Surgery Admit,amber,amber,Yes,,Enoxaparin 40mg SC daily,Diabetic diet. Good intake. HbA1c optimisation ongoing,Mobilising well — physio goals met,HR 95 | BP 128/62 | Temp 38.3°C | O2 95% | RR 20 | NEWS 3,Hb 118 | WCC 9.8 | Plt 195 | Na 137 | K 4.3 | Cr 95 | eGFR 72 | CRP 45↑ | INR 2.8,No lines in situ.,Port sites clean. Day 2 post-op. No concerns.,Examination unremarkable. Improving.,Wound soaking dressings — concern re infection,"Paracetamol 1g QDS
Ibuprofen 400mg TDS
Omeprazole 20mg OD
Enoxaparin 40mg SC",Cognitive assessment incomplete,95,ok,128/62,ok,38.3,warn,95%,ok,20,ok,3,"Paracetamol 1g QDS
Ibuprofen 400mg TDS
Omeprazole 20mg OD
Enoxaparin 40mg SC",Sulphonamides — rash,Omeprazole 20mg OD,3,20/02/2026,Hb 118 | WCC 9.8 | Plt 195 | Na 137 | K 4.3 | Cr 95 | eGFR 72 | CRP 45↑ | INR 2.8,"X-ray hip: implant in good position, no loosening",AF with fast ventricular response — rate controlled,Sputum: Strep pneumoniae — pen-sensitive,Independent. Drives own car. No mobility aids. Pre-op baseline excellent.,Wheelchair dependent,Not ready — awaiting physio milestones and wound review.,27/02/2026,Pharmacy,Mitral valve repair,29/01/2026,Day 19,P1b - Urgent - Procedure needed within 72 hours,MONITOR — wound concern. Erythema noted. TVN referral made.,CARDIAC SURGERY|MONITOR|DNACPR,Active,2026-02-17T13:38:03.424444,2026-02-17T13:38:03.424444,system
KCH0027,Mr Mohammed Taylor,195 542 2582,27/02/1987,39 yrs,Male,Orthopaedic Ward,Bay 1,Bed C,King's College Hospital,Dr Gupta,Dr Brian Adams,Medicine,Medicine,05/02/2026,Sepsis (urinary source),12,Inpatient,urgent,escalate,Pending,,Enoxaparin 40mg SC daily,Low-sodium cardiac diet. Eating 80% meals,Sit in chair twice daily. Sternal precautions,HR 127 | BP 91/53 | Temp 39.3°C | O2 93% | RR 22 | NEWS 9,Hb 118 | WCC 9.8 | Plt 195 | Na 137 | K 4.3 | Cr 95 | eGFR 72 | CRP 45↑ | INR 2.8,No lines in situ.,Wound dehiscence — TVN referral made. Dressing daily.,Cool peripheries. JVP elevated. Bibasal creps.,No nursing concerns,"Heparin infusion (ACS protocol)
Ticagrelor 90mg BD
Aspirin 75mg OD
GTN spray PRN
Furosemide 40mg IV",Awaiting scan result before discharge,127,bad,91/53,bad,39.3,bad,93%,warn,22,warn,9,"Heparin infusion (ACS protocol)
Ticagrelor 90mg BD
Aspirin 75mg OD
GTN spray PRN
Furosemide 40mg IV",Latex — contact dermatitis,,,,Hb 118 | WCC 9.8 | Plt 195 | Na 137 | K 4.3 | Cr 95 | eGFR 72 | CRP 45↑ | INR 2.8,CXR: bilateral basal atelectasis — improving,"Normal sinus rhythm, LBBB — old",,Lives alone. Son visits daily. House has stairs — OT assessment pending.,Mobilising with frame,Not ready — awaiting physio milestones and wound review.,,,Sepsis (urinary source),,,P2a - Procedure can be deferred for up to 2 weeks,URGENT — sepsis suspected. Lactate elevated. Cultures pending. Sepsis 6 initiated.,MEDICINE|URGENT,Active,2026-02-17T13:38:03.424483,2026-02-17T13:38:03.424483,system
KCH0028,Mrs Diane Turner,679 773 7566,28/03/1975,51 yrs,Female,Ward 5A,Bay 2,Bed D,King's College Hospital,Ms Williams,Dr Pauline King,Cardiac Surgery,Cardiac Surgery,11/02/2026,Aortic dissection type A repair,6,Surgery Admit,urgent,escalate,Pending,MRSA,Mechanical — TED stockings only,Free fluids — progressing well,"Mobilising with zimmer frame, physio BD",HR 109 | BP 93/50 | Temp 39.1°C | O2 92% | RR 23 | NEWS 7,Hb 98↓ | WCC 14.2↑ | Plt 210 | Na 136 | K 4.1 | Cr 98 | eGFR 68 | CRP 54↑ | INR 1.1,Chest drain removed day 2. Cannula only.,Port sites clean. Day 2 post-op. No concerns.,Chest clear. Abdomen soft. Calves non-tender.,Pressure area care — repositioning 2-hourly,"Metoprolol 25mg BD
Furosemide 40mg OD
Spironolactone 25mg OD
Warfarin — INR target 2-3
Digoxin 125mcg OD",No barriers identified,109,warn,93/50,bad,39.1,bad,92%,warn,23,warn,7,"Metoprolol 25mg BD
Furosemide 40mg OD
Spironolactone 25mg OD
Warfarin — INR target 2-3
Digoxin 125mcg OD",NSAID — GI intolerance,,,,Hb 98↓ | WCC 14.2↑ | Plt 210 | Na 136 | K 4.1 | Cr 98 | eGFR 68 | CRP 54↑ | INR 1.1,,"AF rate 88bpm, no ST changes",MSU: ESBL E.coli — sensitive to meropenem,Complex social situation. Homeless pre-admission. SW involved. Awaiting placement.,Fully mobile — independent,Nursing home placement in progress. Social worker involved.,,Complete,Aortic dissection type A repair,13/02/2026,Day 4,P2b - Procedure can be deferred for up to 1 month,CRITICAL — post-op deterioration. Surgical review now. Return to theatre possible.,CARDIAC SURGERY|URGENT|MRSA,Active,2026-02-17T13:38:03.424523,2026-02-17T13:38:03.424523,system
KCH0029,Mr James Martin,882 361 5742,07/03/1960,66 yrs,Male,Medical Ward 3,Bay 2,Bed B,King's College Hospital,Ms Williams,Dr Grace Owusu,Gastroenterology,Gastroenterology,09/02/2026,Acute pancreatitis,8,Surgery Admit,green,None,Yes,MRSA,Apixaban 2.5mg BD,NBM — return to theatre possible,Mobilising well — physio goals met,HR 76 | BP 127/76 | Temp 36.3°C | O2 96% | RR 15 | NEWS 0,Hb 118 | WCC 9.8 | Plt 195 | Na 137 | K 4.3 | Cr 95 | eGFR 72 | CRP 45↑ | INR 2.8,Chest drain in situ — draining serosanguinous fluid.,Sternal wound — staple line intact. Clean and dry.,Chest clear. Abdomen soft. Calves non-tender.,Patient refusing medications at times,"Apixaban 5mg BD
Atorvastatin 40mg ON
Amlodipine 5mg OD
Lisinopril 10mg OD",Awaiting physio discharge assessment,76,ok,127/76,ok,36.3,ok,96%,ok,15,ok,0,"Apixaban 5mg BD
Atorvastatin 40mg ON
Amlodipine 5mg OD
Lisinopril 10mg OD",Penicillin — rash,,,,Hb 118 | WCC 9.8 | Plt 195 | Na 137 | K 4.3 | Cr 95 | eGFR 72 | CRP 45↑ | INR 2.8,"MRI spine: L4/5 disc prolapse, no cord compression",,Blood cultures: no growth at 48h,Lives alone. Sheltered accommodation. Warden on site. Low-level support needed.,Bed-bound — hoist transfers,Home tomorrow if clinically stable overnight.,20/02/2026,Complete,Acute pancreatitis,,,P1a - Emergency - Procedure needed within 24 hours,,GASTROENTEROLOGY|DNACPR|MRSA,Active,2026-02-17T13:38:03.424559,2026-02-17T13:38:03.424559,system
KCH0030,Mr Harold Young,897 272 2251,08/06/1955,71 yrs,Male,Orthopaedic Ward,Bay 2,Bed C,King's College Hospital,Dr Patel,Dr Keith Robinson,Gynaecology,Gynaecology,13/02/2026,Ovarian cystectomy,4,Surgery Admit,green,None,No,CDiff,Enoxaparin 40mg SC daily,Low-sodium cardiac diet. Eating 80% meals,"Fully mobile, no restrictions",HR 68 | BP 116/70 | Temp 36.9°C | O2 96% | RR 13 | NEWS 2,Hb 144 | WCC 7.6 | Plt 210 | Na 139 | K 4.1 | Cr 78 | eGFR 84 | CRP 6 | All within normal limits,Chest drain removed day 2. Cannula only.,Wound dehiscence — TVN referral made. Dressing daily.,Chest clear. Abdomen soft. Calves non-tender.,Pressure area care — repositioning 2-hourly,"Apixaban 5mg BD
Atorvastatin 40mg ON
Amlodipine 5mg OD
Lisinopril 10mg OD",No barriers identified,68,ok,116/70,ok,36.9,ok,96%,ok,13,ok,2,"Apixaban 5mg BD
Atorvastatin 40mg ON
Amlodipine 5mg OD
Lisinopril 10mg OD",Codeine — nausea,,,,Hb 144 | WCC 7.6 | Plt 210 | Na 139 | K 4.1 | Cr 78 | eGFR 84 | CRP 6 | All within normal limits,,Sinus bradycardia 48bpm,Blood cultures: Staph aureus — MSSA,Lives with spouse (frail). Both need POC arranging. Carer's assessment requested.,Fully mobile — independent,Home with GP follow-up in 2 weeks. TTL written.,20/02/2026,Pharmacy,Ovarian cystectomy,14/02/2026,Day 3,P4 - Elective,,GYNAECOLOGY|CDIFF|DC PLAN,Active,2026-02-17T13:38:03.424604,2026-02-17T13:38:03.424604,system
KCH0031,Mrs Barbara Nwosu,667 910 1672,15/10/1949,77 yrs,Female,Gynae Ward,Bay 2,Bed C,King's College Hospital,Ms Nwosu,Dr Brenda Adeyemi,Cardiology,Cardiology,12/02/2026,Heart failure exacerbation,5,Inpatient,amber,amber,Yes,,Contraindicated — haemorrhage risk,Diabetic diet. Good intake. HbA1c optimisation ongoing,"Mobilising with zimmer frame, physio BD",HR 81 | BP 128/63 | Temp 38.2°C | O2 95% | RR 21 | NEWS 2,Hb 144 | WCC 7.6 | Plt 210 | Na 139 | K 4.1 | Cr 78 | eGFR 84 | CRP 6 | All within normal limits,Chest drain removed day 2. Cannula only.,Wound clean and dry. Steristrips intact. NERDS 0.,Cool peripheries. JVP elevated. Bibasal creps.,Patient refusing medications at times,"Prednisolone 40mg OD
Omeprazole 40mg OD
Calcium + Vit D
Enoxaparin 40mg SC
Azathioprine 100mg OD",Awaiting scan result before discharge,81,ok,128/63,ok,38.2,warn,95%,ok,21,warn,2,"Prednisolone 40mg OD
Omeprazole 40mg OD
Calcium + Vit D
Enoxaparin 40mg SC
Azathioprine 100mg OD",Penicillin — anaphylaxis,Omeprazole 40mg OD,3,18/02/2026,Hb 144 | WCC 7.6 | Plt 210 | Na 139 | K 4.1 | Cr 78 | eGFR 84 | CRP 6 | All within normal limits,"CT abdomen: no free gas, no collection",Sinus tachycardia 104bpm,Blood cultures: Staph aureus — MSSA,Complex social situation. Homeless pre-admission. SW involved. Awaiting placement.,Walking with stick — improving,Home tomorrow if clinically stable overnight.,02/03/2026,,Heart failure exacerbation,,,P4 - Elective,MONITOR — persistent pyrexia. Source unclear. Repeat bloods today.,CARDIOLOGY|MONITOR|DNACPR,Active,2026-02-17T13:38:03.424651,2026-02-17T13:38:03.424651,system
KCH0032,Mr Trevor Davies,771 815 7421,12/05/1980,46 yrs,Male,Ward 5A,Bay 3,Bed D,King's College Hospital,Dr Gupta,Dr Jennifer Thomas,Respiratory,Respiratory,26/01/2026,Community-acquired pneumonia,22,Inpatient,amber,amber,Pending,,Rivaroxaban 10mg OD,Full diet — eating and drinking well,Non-weight bearing R leg. Hoist transfers,HR 102 | BP 133/62 | Temp 38.0°C | O2 96% | RR 20 | NEWS 4,Hb 105↓ | WCC 22.1↑↑ | Plt 420↑ | Na 134↓ | K 3.6 | Cr 118↑ | eGFR 52 | CRP 180↑ | PCT 4.2↑,PICC line in situ. Arterial line R radial.,Wound — mild erythema 1cm. No exudate. Monitor.,Cool peripheries. JVP elevated. Bibasal creps.,Patient refusing medications at times,"Aspirin 75mg OD
Atorvastatin 80mg ON
Bisoprolol 2.5mg OD
Ramipril 5mg OD
Enoxaparin 40mg SC",Complex social situation — POC to arrange,102,warn,133/62,ok,38.0,warn,96%,ok,20,ok,4,"Aspirin 75mg OD
Atorvastatin 80mg ON
Bisoprolol 2.5mg OD
Ramipril 5mg OD
Enoxaparin 40mg SC",NKDA,,,,Hb 105↓ | WCC 22.1↑↑ | Plt 420↑ | Na 134↓ | K 3.6 | Cr 118↑ | eGFR 52 | CRP 180↑ | PCT 4.2↑,CT chest: no PE. Bilateral consolidation — improving,"Normal sinus rhythm, LBBB — old",Blood cultures: Staph aureus — MSSA,Residential care home. POC already in place. Ready to return when medically fit.,Mobilising with frame,Home tomorrow if clinically stable overnight.,21/02/2026,,Community-acquired pneumonia,,,P2a - Procedure can be deferred for up to 2 weeks,MONITOR — wound concern. Erythema noted. TVN referral made.,RESPIRATORY|MONITOR,Active,2026-02-17T13:38:03.424689,2026-02-17T13:38:03.424689,system
KCH0033,Mr Albert Williams,836 343 8277,12/11/1946,80 yrs,Male,CCU,Bay 2,Bed B,King's College Hospital,Mr Adeyemi,Dr Brenda White,Thoracic Surgery,Thoracic Surgery,05/02/2026,Oesophagectomy,12,Inpatient,urgent,escalate,Yes,Droplet,Enoxaparin 40mg SC daily,Low-sodium cardiac diet. Eating 80% meals,"Mobilising with zimmer frame, physio BD",HR 130 | BP 88/54 | Temp 38.6°C | O2 90% | RR 28 | NEWS 11,Hb 78↓↓ | WCC 18.6↑ | Plt 88↓ | Na 131↓ | K 5.2↑ | Cr 210↑ | eGFR 28 | CRP 310↑ | Lactate 3.8↑,IDC in situ — UO monitoring. IV cannula.,Sternal wound — staple line intact. Clean and dry.,Cognitively improved. Chest clear. Mobile.,"Night-time confusion, falls risk HIGH","Prednisolone 40mg OD
Omeprazole 40mg OD
Calcium + Vit D
Enoxaparin 40mg SC
Azathioprine 100mg OD",NHS continuing healthcare assessment pending,130,bad,88/54,bad,38.6,bad,90%,bad,28,bad,11,"Prednisolone 40mg OD
Omeprazole 40mg OD
Calcium + Vit D
Enoxaparin 40mg SC
Azathioprine 100mg OD",Penicillin — anaphylaxis,Omeprazole 40mg OD,7,19/02/2026,Hb 78↓↓ | WCC 18.6↑ | Plt 88↓ | Na 131↓ | K 5.2↑ | Cr 210↑ | eGFR 28 | CRP 310↑ | Lactate 3.8↑,"Echo: EF 30%↓, dilated LV. Urgent cardiology review","Sinus rhythm 72bpm, normal axis, no ST changes",Sputum: Strep pneumoniae — pen-sensitive,Lives with spouse. Fully independent pre-admission. No care package needed.,Mobilising with frame,Step-down to ward from HDU — discharge planning to begin.,,Pharmacy,Oesophagectomy,15/02/2026,Day 2,P4 - Elective,CRITICAL — post-op deterioration. Surgical review now. Return to theatre possible.,THORACIC SURGERY|URGENT|DNACPR|DROPLET,Active,2026-02-17T13:38:03.424733,2026-02-17T13:38:03.424733,system
KCH0034,Mr Ernest Brown,341 495 2337,17/06/1948,78 yrs,Male,Surgical Ward 2,Bay 1,Bed C,King's College Hospital,Dr Ali,Dr Keith Thomas,Medicine,Medicine,15/02/2026,Sepsis (urinary source),2,Inpatient,urgent,escalate,Yes,,Apixaban 2.5mg BD,Free fluids — progressing well,Wheelchair transfers only,HR 109 | BP 85/44 | Temp 39.1°C | O2 91% | RR 29 | NEWS 11,Hb 98↓ | WCC 14.2↑ | Plt 210 | Na 136 | K 4.1 | Cr 98 | eGFR 68 | CRP 54↑ | INR 1.1,Chest drain in situ — draining serosanguinous fluid.,Wound dehiscence — TVN referral made. Dressing daily.,Cognitively improved. Chest clear. Mobile.,Wound soaking dressings — concern re infection,"Aspirin 75mg OD
Atorvastatin 80mg ON
Bisoprolol 2.5mg OD
Ramipril 5mg OD
Enoxaparin 40mg SC",Awaiting physio discharge assessment,109,warn,85/44,bad,39.1,bad,91%,warn,29,bad,11,"Aspirin 75mg OD
Atorvastatin 80mg ON
Bisoprolol 2.5mg OD
Ramipril 5mg OD
Enoxaparin 40mg SC",Penicillin — rash,,,,Hb 98↓ | WCC 14.2↑ | Plt 210 | Na 136 | K 4.1 | Cr 98 | eGFR 68 | CRP 54↑ | INR 1.1,"Echo: EF 30%↓, dilated LV. Urgent cardiology review","Normal sinus rhythm, LBBB — old",,Lives with spouse (frail). Both need POC arranging. Carer's assessment requested.,Mobilising with crutches NWB,Awaiting cardiology outpatient slot before discharge.,,,Sepsis (urinary source),,,P1a - Emergency - Procedure needed within 24 hours,CRITICAL — haemodynamically unstable. NEWS 11. ICU review urgently.,MEDICINE|URGENT|DNACPR,Active,2026-02-17T13:38:03.424767,2026-02-17T13:38:03.424767,system
KCH0035,Mr Andrew Lewis,461 346 7825,01/10/1944,82 yrs,Male,Ward 5A,Bay 3,Bed A,King's College Hospital,Dr Martinez,Dr Florence Adeyemi,General Surgery,General Surgery,31/01/2026,Elective lap cholecystectomy,17,Day Case,green,None,Yes,,Enoxaparin 40mg SC daily,NBM — return to theatre possible,Mobilising well — physio goals met,HR 60 | BP 122/80 | Temp 36.3°C | O2 99% | RR 14 | NEWS 1,Hb 112 | WCC 8.4 | Plt 340 | Na 138 | K 3.8 | Cr 72 | eGFR >90 | CRP 22 | Trop T neg,Chest drain in situ — draining serosanguinous fluid.,Port sites clean. Day 2 post-op. No concerns.,Examination unremarkable. Improving.,"Night-time confusion, falls risk HIGH","Aspirin 75mg OD
Atorvastatin 80mg ON
Bisoprolol 2.5mg OD
Ramipril 5mg OD
Enoxaparin 40mg SC",Complex social situation — POC to arrange,60,ok,122/80,ok,36.3,ok,99%,ok,14,ok,1,"Aspirin 75mg OD
Atorvastatin 80mg ON
Bisoprolol 2.5mg OD
Ramipril 5mg OD
Enoxaparin 40mg SC",NKDA,,,,Hb 112 | WCC 8.4 | Plt 340 | Na 138 | K 3.8 | Cr 72 | eGFR >90 | CRP 22 | Trop T neg,"CXR: cardiomegaly, upper lobe diversion","Normal sinus rhythm, LBBB — old",,Lives with spouse. Fully independent pre-admission. No care package needed.,Walking with stick — improving,Step-down to ward from HDU — discharge planning to begin.,21/02/2026,,Elective lap cholecystectomy,17/02/2026,Day 0,P2a - Procedure can be deferred for up to 2 weeks,,GENERAL SURGERY|DNACPR|DC PLAN,Active,2026-02-17T13:38:03.424820,2026-02-17T13:38:03.424820,system
KCH0036,Mrs Angela Williams,627 507 9897,11/05/1993,33 yrs,Female,Cardiac HDU,Bay 3,Bed C,King's College Hospital,Ms Robertson,Dr John Nwosu,Urology,Urology,06/02/2026,Nephrectomy (renal Ca),11,Inpatient,amber,amber,Yes,,Contraindicated — haemorrhage risk,Soft diet — SALT assessment complete,Non-weight bearing R leg. Hoist transfers,HR 83 | BP 123/73 | Temp 38.3°C | O2 96% | RR 19 | NEWS 4,Hb 144 | WCC 7.6 | Plt 210 | Na 139 | K 4.1 | Cr 78 | eGFR 84 | CRP 6 | All within normal limits,Chest drain in situ — draining serosanguinous fluid.,Sternal wound — staple line intact. Clean and dry.,Chest clear. Mild abdominal tenderness — expected post-op.,Compliant and motivated. Good progress,"Metoprolol 25mg BD
Furosemide 40mg OD
Spironolactone 25mg OD
Warfarin — INR target 2-3
Digoxin 125mcg OD",NHS continuing healthcare assessment pending,83,ok,123/73,ok,38.3,warn,96%,ok,19,ok,4,"Metoprolol 25mg BD
Furosemide 40mg OD
Spironolactone 25mg OD
Warfarin — INR target 2-3
Digoxin 125mcg OD",Codeine — nausea,,,,Hb 144 | WCC 7.6 | Plt 210 | Na 139 | K 4.1 | Cr 78 | eGFR 84 | CRP 6 | All within normal limits,"CXR: cardiomegaly, upper lobe diversion",AF with fast ventricular response — rate controlled,,Residential care home. POC already in place. Ready to return when medically fit.,Walking with stick — improving,Step-down to ward from HDU — discharge planning to begin.,24/02/2026,Pharmacy,Nephrectomy (renal Ca),10/02/2026,Day 7,P2a - Procedure can be deferred for up to 2 weeks,MONITOR — wound concern. Erythema noted. TVN referral made.,UROLOGY|MONITOR|DNACPR,Active,2026-02-17T13:38:03.424895,2026-02-17T13:38:03.424895,system
KCH0037,Ms Jennifer Agyei,910 158 2229,09/11/1943,83 yrs,Female,Ward 6C,Bay 1,Bed B,King's College Hospital,Ms Robertson,Dr Gladys Asante,Medicine,Medicine,02/02/2026,Cellulitis — IV antibiotics,15,Surgery Admit,green,None,Yes,CDiff,Enoxaparin 40mg SC daily,Nutritional supplements BD — poor intake,Non-weight bearing R leg. Hoist transfers,HR 61 | BP 114/67 | Temp 36.5°C | O2 98% | RR 14 | NEWS 1,Hb 78↓↓ | WCC 18.6↑ | Plt 88↓ | Na 131↓ | K 5.2↑ | Cr 210↑ | eGFR 28 | CRP 310↑ | Lactate 3.8↑,Chest drain in situ — draining serosanguinous fluid.,Sternal wound — staple line intact. Clean and dry.,Bibasal crepitations — improving. Abdomen soft.,Wound soaking dressings — concern re infection,"Heparin infusion (ACS protocol)
Ticagrelor 90mg BD
Aspirin 75mg OD
GTN spray PRN
Furosemide 40mg IV",Nil barriers — for discharge when medically fit,61,ok,114/67,ok,36.5,ok,98%,ok,14,ok,1,"Heparin infusion (ACS protocol)
Ticagrelor 90mg BD
Aspirin 75mg OD
GTN spray PRN
Furosemide 40mg IV",NKDA,,,,Hb 78↓↓ | WCC 18.6↑ | Plt 88↓ | Na 131↓ | K 5.2↑ | Cr 210↑ | eGFR 28 | CRP 310↑ | Lactate 3.8↑,,,Blood cultures: Staph aureus — MSSA,Residential care home. POC already in place. Ready to return when medically fit.,Bed-bound — hoist transfers,Awaiting cardiology outpatient slot before discharge.,18/02/2026,Complete,Cellulitis — IV antibiotics,,,P4 - Elective,,MEDICINE|DNACPR|CDIFF,Active,2026-02-17T13:38:03.424934,2026-02-17T13:38:03.424934,system
KCH0038,Mr Colin Clark,392 810 9047,07/10/1941,85 yrs,Male,CCU,Bay 2,Bed D,King's College Hospital,Mr Harrington,Dr Mary Mensah,General Surgery,General Surgery,05/02/2026,Perforated appendix — appendicectomy,12,Surgery Admit,urgent,escalate,No,CDiff,Enoxaparin 40mg SC daily,Soft/purée — thin fluids safe with chin tuck,Bed rest — haemodynamically unstable,HR 102 | BP 87/57 | Temp 38.3°C | O2 90% | RR 24 | NEWS 12,Hb 132 | WCC 11.2 | Plt 280 | Na 140 | K 4.0 | Cr 85 | eGFR 78 | CRP 8 | HbA1c 52,PICC line in situ. Arterial line R radial.,Wound clean and dry. Steristrips intact. NERDS 0.,Chest clear. Abdomen soft. Calves non-tender.,Pressure area care — repositioning 2-hourly,"Metoprolol 25mg BD
Furosemide 40mg OD
Spironolactone 25mg OD
Warfarin — INR target 2-3
Digoxin 125mcg OD",NHS continuing healthcare assessment pending,102,warn,87/57,bad,38.3,warn,90%,bad,24,warn,12,"Metoprolol 25mg BD
Furosemide 40mg OD
Spironolactone 25mg OD
Warfarin — INR target 2-3
Digoxin 125mcg OD",NKDA,,,,Hb 132 | WCC 11.2 | Plt 280 | Na 140 | K 4.0 | Cr 85 | eGFR 78 | CRP 8 | HbA1c 52,CXR: bilateral basal atelectasis — improving,"Normal sinus rhythm, LBBB — old",,Lives with spouse (frail). Both need POC arranging. Carer's assessment requested.,Mobilising with crutches NWB,Complex social situation. Family meeting this week. Package of care to arrange.,,,Perforated appendix — appendicectomy,16/02/2026,Day 1,P4 - Elective,URGENT — sepsis suspected. Lactate elevated. Cultures pending. Sepsis 6 initiated.,GENERAL SURGERY|URGENT|CDIFF,Active,2026-02-17T13:38:03.424973,2026-02-17T13:38:03.424973,system
KCH0039,Mrs Miriam Taylor,560 577 9476,21/02/1958,68 yrs,Female,Gynae Ward,Bay 2,Bed B,King's College Hospital,Ms Williams,Dr Tracey Brown,Medicine,Medicine,13/02/2026,AKI on CKD,4,Day Case,green,None,No,Droplet,Enoxaparin 40mg SC daily,NBM — return to theatre possible,Bed rest — haemodynamically unstable,HR 76 | BP 114/74 | Temp 36.4°C | O2 98% | RR 17 | NEWS 0,Hb 105↓ | WCC 22.1↑↑ | Plt 420↑ | Na 134↓ | K 3.6 | Cr 118↑ | eGFR 52 | CRP 180↑ | PCT 4.2↑,Chest drain in situ — draining serosanguinous fluid.,Wound dehiscence — TVN referral made. Dressing daily.,Examination unremarkable. Improving.,Family very anxious — need update today,"Co-amoxiclav 625mg TDS
Paracetamol 1g QDS
Oxycodone 5mg PRN
Enoxaparin 40mg SC
Omeprazole 20mg OD",Nil barriers — for discharge when medically fit,76,ok,114/74,ok,36.4,ok,98%,ok,17,ok,0,"Co-amoxiclav 625mg TDS
Paracetamol 1g QDS
Oxycodone 5mg PRN
Enoxaparin 40mg SC
Omeprazole 20mg OD",Penicillin — rash,Omeprazole 20mg OD,9,20/02/2026,Hb 105↓ | WCC 22.1↑↑ | Plt 420↑ | Na 134↓ | K 3.6 | Cr 118↑ | eGFR 52 | CRP 180↑ | PCT 4.2↑,"Echo: EF 45%, mild MR, no effusion",AF with fast ventricular response — rate controlled,,Lives alone. Son visits daily. House has stairs — OT assessment pending.,Fully mobile — independent,Home with GP follow-up in 2 weeks. TTL written.,22/02/2026,,AKI on CKD,,,P1b - Urgent - Procedure needed within 72 hours,,MEDICINE|DROPLET|DC PLAN,Active,2026-02-17T13:38:03.425022,2026-02-17T13:38:03.425022,system
KCH0040,Ms Catherine Ahmed,658 396 5949,16/11/1995,31 yrs,Female,Medical Ward 3,Bay 3,Bed D,King's College Hospital,Mr Harrington,Dr George Johnson,Urology,Urology,02/02/2026,Nephrectomy (renal Ca),15,Surgery Admit,amber,amber,No,,Mechanical — TED stockings only,Nutritional supplements BD — poor intake,Wheelchair transfers only,HR 95 | BP 129/66 | Temp 37.5°C | O2 94% | RR 18 | NEWS 4,Hb 112 | WCC 8.4 | Plt 340 | Na 138 | K 3.8 | Cr 72 | eGFR >90 | CRP 22 | Trop T neg,IDC in situ — UO monitoring. IV cannula.,Wound — mild erythema 1cm. No exudate. Monitor.,Chest clear. Mild abdominal tenderness — expected post-op.,Family very anxious — need update today,"Co-amoxiclav 625mg TDS
Paracetamol 1g QDS
Oxycodone 5mg PRN
Enoxaparin 40mg SC
Omeprazole 20mg OD",Family not yet informed of diagnosis,95,ok,129/66,ok,37.5,ok,94%,warn,18,ok,4,"Co-amoxiclav 625mg TDS
Paracetamol 1g QDS
Oxycodone 5mg PRN
Enoxaparin 40mg SC
Omeprazole 20mg OD",NKDA,Omeprazole 20mg OD,7,19/02/2026,Hb 112 | WCC 8.4 | Plt 340 | Na 138 | K 3.8 | Cr 72 | eGFR >90 | CRP 22 | Trop T neg,"CXR: cardiomegaly, upper lobe diversion","Normal sinus rhythm, LBBB — old",Sputum: Strep pneumoniae — pen-sensitive,Residential care home. POC already in place. Ready to return when medically fit.,Bed-bound — hoist transfers,Awaiting cardiology outpatient slot before discharge.,21/02/2026,Complete,Nephrectomy (renal Ca),15/02/2026,Day 2,P1a - Emergency - Procedure needed within 24 hours,MONITOR — wound concern. Erythema noted. TVN referral made.,UROLOGY|MONITOR,Active,2026-02-17T13:38:03.425079,2026-02-17T13:38:03.425079,system
